news_id	retweets	favourites	total tweets	12h	24h	48h	7 days	rest
127	0	0	21	2	0	0	1	18
1019	0	0	14	1	4	3	3	3
1600	0	0	9	2	2	0	5	0
856	0	44	29	5	10	7	6	1
112	0	13	6	1	0	0	0	5
130	0	0	6	2	0	0	2	2
63	0	0	37	1	1	0	0	35
2000	0	0	6	2	0	2	2	0
651	0	0	126	5	3	1	1	116
673	0	1	7	1	0	1	0	5
767	0	0	46	1	6	22	14	3
871	0	3	20	2	0	0	4	14
1023	1	0	17	6	4	4	0	3
262	0	0	54	7	17	14	16	0
892	0	0	16	1	0	2	13	0
1143	1	2	95	1	0	0	0	94
1500	0	0	5	2	3	0	0	0
15	0	0	4	1	0	0	0	3
1875	0	1	38	3	0	0	28	7
272	0	0	55	25	10	12	8	0
116	0	0	382	73	243	44	18	4
1100	0	0	3	1	0	0	0	2
2143	0	1	12	1	3	5	3	0
87	0	0	74	2	0	0	0	72
1024	0	0	3	1	0	0	0	2
300	0	0	3	1	0	0	0	2
317	0	0	83	43	35	4	1	0
1029	0	0	324	6	50	31	20	217
977	0	0	17	10	1	5	1	0
849	12	2	6	1	0	0	0	5
619	0	0	11	4	0	1	3	3
26	0	0	23	12	11	0	0	0
157	0	4	42	32	3	7	0	0
49	0	0	13	12	1	0	0	0
665	0	0	16	1	0	2	2	11
974	0	0	59	11	15	27	6	0
985	0	0	17	6	1	1	2	7
1213	0	0	65	40	21	2	1	1
828	0	0	62	16	19	16	4	7
1876	0	1	38	3	0	0	28	7
490	0	0	67	4	6	24	13	20
1386	3	3	9	5	4	0	0	0
757	0	0	29	12	15	1	0	1
97	0	156	3	1	0	0	0	2
60	0	0	72	17	4	5	39	7
820	89	376	5	2	2	1	0	0
1230	0	5	6	1	0	0	5	0
873	0	1	3	3	0	0	0	0
181	1	1	3	2	1	0	0	0
221	0	0	8	8	0	0	0	0
736	0	0	8	6	1	0	1	0
188	0	0	91	4	11	9	37	30
681	0	0	17	5	8	1	1	2
638	0	0	93	1	0	0	0	92
724	0	0	8	7	0	1	0	0
99	0	18	26	3	2	6	13	2
1995	0	0	8	3	1	3	1	0
94	0	4	26	1	0	0	0	25
107	0	0	4	1	0	0	2	1
585	0	0	14	6	3	4	1	0
712	0	1	18	5	5	6	2	0
722	0	0	74	1	0	4	1	68
1080	0	0	174	2	1	9	37	125
1132	0	0	13	5	2	6	0	0
1920	0	0	3	2	0	1	0	0
1921	0	0	3	1	0	1	0	1
687	0	0	3	1	0	0	0	2
626	0	0	540	59	5	11	353	112
239	0	0	7	1	0	0	0	6
242	0	0	100	30	39	17	10	4
1012	0	0	189	70	59	22	14	24
2149	1	2	5	1	1	0	3	0
860	0	0	5	1	0	0	0	4
1923	0	14	7	4	0	2	1	0
1090	7	12	6	1	0	0	0	5
880	0	0	80	1	0	0	7	72
77	0	0	45	2	1	1	10	31
1228	0	1	5	3	1	1	0	0
3	0	0	15	4	10	1	0	0
497	85	160	3	1	0	0	0	2
782	0	0	15	1	3	5	5	1
798	0	4	22	20	2	0	0	0
1873	0	0	96	12	44	32	8	0
1043	0	0	237	3	1	6	7	220
278	0	1	6	1	0	2	2	1
1187	0	1	7	1	0	0	0	6
840	0	0	13	1	0	0	0	12
268	0	2	20	1	0	0	0	19
1153	0	4	24	2	0	0	7	15
14	0	0	4	2	1	1	0	0
1215	0	3	4	1	2	1	0	0
178	0	0	62	16	19	16	4	7
29	0	0	17	11	2	2	2	0
972	0	0	449	253	175	6	8	7
478	0	0	313	1	0	0	0	312
328	0	993	3	2	0	0	0	1
576	0	156	133	1	0	0	0	132
158	0	0	4	3	1	0	0	0
38	0	0	146	1	0	0	1	144
113	0	0	9	1	0	0	0	8
294	0	0	3	3	0	0	0	0
1234	0	0	5	3	0	2	0	0
129	0	0	3	1	0	1	1	0
954	0	0	8	4	0	1	2	1
1104	0	0	16	7	5	4	0	0
271	0	0	288	147	50	63	27	1
1079	0	0	5	3	0	2	0	0
876	0	0	13	3	2	6	2	0
658	15	22	13	1	0	0	0	12
631	0	1	3	1	2	0	0	0
71	0	0	21	1	0	0	8	12
758	0	0	6	2	0	0	2	2
888	0	0	5	1	0	0	3	1
310	0	0	91	28	27	23	11	2
874	2	1	3	3	0	0	0	0
103	0	1	18	5	5	6	2	0
1667	0	0	3	1	1	1	0	0
1099	0	0	27	14	3	3	6	1
1034	0	0	7	4	0	0	3	0
564	0	0	4	2	1	1	0	0
1501	0	2	20	4	8	3	0	5
74	0	8	43	14	11	3	13	2
185	3	3	3	2	0	0	0	1
1030	0	0	6	4	0	2	0	0
831	0	136	226	2	0	0	0	224
250	0	0	63	5	1	1	2	54
952	0	0	8	8	0	0	0	0
90	0	0	8	6	0	2	0	0
1121	0	0	212	1	0	0	0	211
547	0	0	34	6	3	17	6	2
2064	0	11	28	1	16	9	2	0
1119	0	2	36	4	2	13	15	2
44	0	3	7	6	0	0	1	0
632	0	0	37	1	1	0	0	35
1007	0	0	5	3	0	1	0	1
131	2	2	11	1	0	0	0	10
1678	0	0	33	10	8	15	0	0
354	0	1	9	5	0	0	1	3
744	0	0	313	1	1	1	1	309
1009	0	0	142	9	4	25	23	81
37	0	0	18	3	7	5	3	0
1741	0	9	24	3	7	10	2	2
1497	0	1	25	10	12	1	2	0
432	0	0	3	3	0	0	0	0
27	0	0	14	6	3	4	1	0
1038	0	0	87	4	4	11	47	21
1661	0	0	262	2	3	6	4	247
993	0	0	20	3	1	8	8	0
885	0	0	6	2	3	1	0	0
1171	0	0	189	1	0	0	0	188
255	0	0	45	3	4	5	8	25
1229	0	0	5	3	0	2	0	0
282	0	0	17	10	1	5	1	0
1142	0	0	5	3	1	0	0	1
1495	0	0	76	1	0	0	0	75
2072	0	2	15	1	0	0	0	14
202	0	0	23	1	2	9	11	0
1227	0	94	29	10	4	5	7	3
311	0	0	103	6	3	12	20	62
